asin,manifest_status,match_method,ca_skus,cb_item_name,shopify_handle,shopify_status,amazon_title
B0833LR3NK,pending_team_review,seller_sku,hlplnb-sil07fled-ab-901,hlplnb-sil07fled-ab,07-14-chevy-silverado-full-led-projector-headlights-black-amber,ACTIVE,Topline_autopart Sequential Black Housing Full LED Tri Projector Headlights Signal Lamps Amber Reflector nb Compatible With 07-13 Chevy Silverado 1500/07-14 2500 3500 HD Pickup Truck
B095W3NXPT,pending_team_review,title,th-xte05-c514-801,th-xte05-c514,2005-2015-nissan-xterra-class-3-trailer-hitch-black-13514,ACTIVE,"TLAPS 7422440011096 Compatible with 2005-2015 Xterra Class 3 III Black 2"" Receiver Trailer Hitch"
B099DRC5W9,pending_team_review,title,tbm-f15004-5.5-rb-v2-801,tbm-f15004-5.5-rb-v2,2004-2014-ford-f-150-lincoln-mark-lt-5-5ft-bed-rubber-mat,ACTIVE,"TLAPS 7422446857858 Compatible with 2004-2014 Ford F150 / 2006-2008 Lincoln Mark LT 5.5 Feet (66"") Bed Black Rubber Horizontal Line Truck Bed Mat"
B09SVZT1JM,pending_team_review,title,hlnb-f15009lbw-cha-801,hlnb-f15009lbw-cha,09-14-ford-f-150-led-crystal-headlights-chrome-w-amber-light-bar,ACTIVE,TLAPS 7422437379345 Compatible With 2009-2014 Ford F150 DRL LED Strip Bar Chrome Housing Headlights With Amber Reflector
B09T5S7CCJ,pending_team_review,title,hlpnb-f15004lsq-ac-801,hlpnb-f15004lsq-ac,04-08-ford-f-150-projector-headlights-sequential-led-chrome,ACTIVE,TLAPS 7422453584563 Compatible with 2004-2008 Ford F150 / 2006-2008 Lincoln Mark LT Switchback Sequential LED Strip Bar Chrome Housing Projector Headlights with Amber Reflector
B09VN7H9M2,pending_team_review,title,hlplnb-ram02flsq-ab-801,hlplnb-ram02flsq-ab,02-05-dodge-ram-full-led-projector-headlights-sequential-signal-black,ACTIVE,TLAPS 7422438352347 Compatible With 2002-2005 Dodge Ram 1500/2003-2005 2500 3500 Switchback Sequential Full LED Strip Bar Black Housing Projector Headlights With Amber Reflector
B09XCFFL52,pending_team_review,title,hlnb-impa06lsq-jdma-801,hlnb-impa06lsq-jdma,06-13-chevy-impala-sequential-led-crystal-headlights-black,ACTIVE,TLAPS 7422438275257 Compatible With 2006-2013 Chevy Impala / 2014-2016 Limited / 2006-2007 Monte Carlo Sequential LED Strip Bar Black Housing Headlights With Amber Reflector
B09XCGPWBW,pending_team_review,title,hlnb-sie07lbw-jdma-801,hlnb-sie07lbw-jdma,07-13-gmc-sierra-1500-2500-3500-led-crystal-headlights-black,ACTIVE,TLAPS 7422452957986 Compatible With 2007-2013 GMC Sierra 1500/2007-2014 2500 3500 HD DRL LED Strip Bar Black Housing Headlights With Amber Reflector
B0BPN9WKLG,pending_team_review,title,hlnb-taco016plbw-jdma-801,hlnb-taco016plbw-jdma,01-04-toyota-tacoma-crystal-headlights-6pc-led-light-bar-black,ACTIVE,TLAPS 7422438193124 Compatible With 2001-2004 Toyota Tacoma DRL LED Strip Bar Black Housing Headlights With Signal Bumper + Corner Lamps Amber Reflector 6-Pieces Design
B0DKTNVDQR,pending_team_review,,,,,,"SEALIGHT 9006/HB4 LED Bulbs, 70,000LM 900% Super Bright 6500K Cool White, 1:1 Mini Size Wireless Fog Light Bulbs with Copper Tube Cooling, CANBUS Ready Plug-N-Play, Pack of 2"
