sku,image_filename,product_handle,product_title,image_url,status
ITEM-031930,bghd-am-mb_flbw-40cree-lb-wh-2_044a61d0-03a9-4431-b684-613df9728744.jpg,2021-2024-ford-bronco-bull-guard-w-led-light-bar-matte-black,2021-2024 Ford Bronco Studded Mesh Bull Guard Matte Black w/ LED Bar,https://cdn.shopify.com/s/files/1/0724/2638/9551/files/bghd-am-mb_flbw-40cree-lb-wh-2_044a61d0-03a9-4431-b684-613df9728744.jpg?v=1776218149,ACTIVE
ITEM-032506,th-sore21-c473-st-2.jpg,2021-2024-kia-sorento-hyundai-santa-fe-2-hitch-receiver-class-3,"2021-2024 Kia Sorento Hyundai Santa Fe 2"" Hitch Receiver Class 3",https://cdn.shopify.com/s/files/1/0724/2638/9551/files/th-sore21-c473-st-2.jpg?v=1776216910,ACTIVE
ITEM-033458,th-venz21-c468-stl-2.jpg,2021-2024-toyota-venza-2-trailer-hitch-receiver-class-3,"2021-2024 Toyota Venza 2"" Trailer Hitch Receiver - Class 3",https://cdn.shopify.com/s/files/1/0724/2638/9551/files/th-venz21-c468-stl-2.jpg?v=1776216912,ACTIVE
ITEM-033464,th-jgcl21-c491-stl-2.jpg,2021-2025-jeep-grand-cherokee-l-2-trailer-hitch-receiver-class-3,"2021-2025 Jeep Grand Cherokee L 2"" Trailer Hitch Receiver Class 3",https://cdn.shopify.com/s/files/1/0724/2638/9551/files/th-jgcl21-c491-stl-2.jpg?v=1776216914,ACTIVE
ITEM-033436,th-rog21-c471-stl-2.jpg,2021-2026-nissan-rogue-class-3-trailer-hitch-2-receiver-black,"2021-2026 Nissan Rogue Class 3 Trailer Hitch 2"" Receiver - Black",https://cdn.shopify.com/s/files/1/0724/2638/9551/files/th-rog21-c471-stl-2.jpg?v=1776216917,ACTIVE
ITEM-030355,fmr-3p-hb-2_9a9af621-0ea7-41df-a78d-b55a3a608ef7.jpg,2022-hyundai-santa-cruz-hex-style-rubber-floor-mats-3pc-black,2022-2023 Hyundai Santa Cruz All Weather Rubber Floor Mats 3PC - Black,https://cdn.shopify.com/s/files/1/0724/2638/9551/files/fmr-3p-hb-2_9a9af621-0ea7-41df-a78d-b55a3a608ef7.jpg?v=1776218151,ACTIVE
ITEM-030351,fmr-3p-hb-2_73fba54a-c288-49f1-9261-1bc5f29fc835.jpg,2022-nissan-frontier-crew-cab-hex-rubber-floor-mats-3pc-black,2022-2023 Nissan Frontier Crew Cab Rubber Floor Mats 3PC - Black,https://cdn.shopify.com/s/files/1/0724/2638/9551/files/fmr-3p-hb-2_73fba54a-c288-49f1-9261-1bc5f29fc835.jpg?v=1776218153,ACTIVE
ITEM-030352,fmr-3p-hb-2_22391d2e-97bc-4e20-91b0-9abaf0d884d1.jpg,2022-nissan-frontier-king-cab-hex-rubber-floor-mats-3pc-black,2022-2023 Nissan Frontier King Cab 3PC Rubber Floor Mats - Black,https://cdn.shopify.com/s/files/1/0724/2638/9551/files/fmr-3p-hb-2_22391d2e-97bc-4e20-91b0-9abaf0d884d1.jpg?v=1776218154,ACTIVE
ITEM-030348,fmr-1p-hb-2_7972929e-e72b-4640-9a95-836c2069aabe.jpg,rivian-r1t-hex-style-all-weather-rubber-front-trunk-mat-black,2022-2023 Rivian R1T R1S Front Trunk Mat All Weather - HexStyle,https://cdn.shopify.com/s/files/1/0724/2638/9551/files/fmr-1p-hb-2_7972929e-e72b-4640-9a95-836c2069aabe.jpg?v=1776218156,ACTIVE
ITEM-030938,sbrs-detail-2_f401bf3a-cfba-451e-a2db-de558d879159.jpg,2022-toyota-tundra-double-cab-rock-sliders-side-steps-texture-black,2022-2023 Toyota Tundra Double Cab Rock Sliders Side Steps - Texture Black,https://cdn.shopify.com/s/files/1/0724/2638/9551/files/sbrs-detail-2_f401bf3a-cfba-451e-a2db-de558d879159.jpg?v=1776218157,ACTIVE
